Comments,URL,Actual,Predicted
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/114006_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/288004_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/318008_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/143008_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/336009_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/493009_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/79005_HouseInterior_6.jpg,class0,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/128009_HouseInterior_6.jpg,class3,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/499011_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/421003_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/497006_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/184009_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/519010_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/475004_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/1069005_HouseInterior_6.jpg,class1,high income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/392010_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/70002_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/77006_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/384004_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/76004_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/113005_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/113008_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/468001_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/25012_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/285007_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/83003_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/439002_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/112011_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/95010_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/101005_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/404005_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/1007003_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/139006_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/205012_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/327011_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/523012_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/181014_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/293011_HouseInterior_6.jpg,class3,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/80003_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/487007_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/28002_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/472008_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/21011_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/143003_HouseInterior_6.jpg,class2,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/153007_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/409006_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/199006_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/368007_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/274013_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/104005_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/72005_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/1047002_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/425007_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/275003_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/291014_HouseInterior_6.jpg,class4,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/88010_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/83011_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/222010_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/475002_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/240005_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/69001_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/298006_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/289008_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/325004_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/209006_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/264005_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/88014_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/159009_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/473002_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/387009_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/385002_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/104004_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/337011_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/121008_HouseInterior_6.jpg,class4,high income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/22011_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/475001_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/28004_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/1031018_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/190008_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/293002_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/396013_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/433008_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/142004_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/392011_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/107005_HouseInterior_6.jpg,class3,high income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/189010_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/1006006_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/2012_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/97010_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/198004_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/37005_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/31009_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/299008_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/65009_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/330006_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/295009_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/210001_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/102013_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/1055002_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/313004_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/507010_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/4004_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/211003_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/199002_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/251009_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/327009_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/338013_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/260009_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/42012_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/453009_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/499001_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/398012_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/105006_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/503005_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/5003_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/391006_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/375012_HouseInterior_6.jpg,class3,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/17010_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/473012_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/181012_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/408007_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/1009013_HouseInterior_6.jpg,class0,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/153010_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/1064008_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/383010_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/362007_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/36014_HouseInterior_6.jpg,class1,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/376014_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/94013_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/250004_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/255007_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/38014_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/511011_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/338011_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/433011_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/4008_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/200004_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/1002006_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/309008_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/78006_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/493003_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/236004_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/428003_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/154002_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/126011_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/214012_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/103009_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/338001_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/66001_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/1007017_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/313007_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/523011_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/9004_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/416012_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/509006_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/311009_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/12006_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/300005_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/53008_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/450013_HouseInterior_6.jpg,class0,lower middle income
