,,Actual,Predicted
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/508010_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/329012_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/122001_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/82003_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/306006_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/212008_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/460012_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/35007_CookingArea_7.jpg,class3,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/407010_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/250007_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/131007_CookingArea_7.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/453003_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/47003_CookingArea_7.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/321009_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/418011_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/367004_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/524012_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/154002_CookingArea_7.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/442013_CookingArea_7.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/269013_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/427011_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/413007_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/366008_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/337002_CookingArea_7.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/21007_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/280005_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/272011_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/199007_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/498009_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/305003_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/333009_CookingArea_7.jpg,class4,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/464013_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/24003_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/194009_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/283009_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/425011_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/293007_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/328010_CookingArea_7.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/130007_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/182005_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/87004_CookingArea_7.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/120001_CookingArea_7.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/363006_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/148012_CookingArea_7.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/18001_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/415004_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/302002_CookingArea_7.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/156012_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/203006_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/452002_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/3012_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/1064007_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/398004_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/268002_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/378012_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/217007_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/215008_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/1071017_CookingArea_7.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/510001_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/484011_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/8007_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/267006_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/110003_CookingArea_7.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/365002_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/235007_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/517011_CookingArea_7.jpg,class4,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/372012_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/514002_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/216005_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/508013_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/88004_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/84004_CookingArea_7.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/378007_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/1069016_CookingArea_7.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/465007_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/88012_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/278009_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/95006_CookingArea_7.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/11009_CookingArea_7.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/282007_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/266008_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/491005_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/33003_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/21003_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/258008_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/285011_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/40003_CookingArea_7.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/509009_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/469008_CookingArea_7.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/383006_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/194008_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/111010_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/1009012_CookingArea_7.jpg,class0,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/398003_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/78007_CookingArea_7.jpg,class1,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/379007_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/476008_CookingArea_7.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/23006_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/455013_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/253001_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/126008_CookingArea_7.jpg,class3,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/363008_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/468009_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/97007_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/501009_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/386012_CookingArea_7.jpg,class4,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/109014_CookingArea_7.jpg,class1,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/381008_CookingArea_7.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/412011_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/466002_CookingArea_7.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/341010_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/362002_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/515007_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/191007_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/149010_CookingArea_7.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/250010_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/271003_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/183001_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/439013_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/417013_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/83009_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/470004_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/524002_CookingArea_7.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/317010_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/217004_CookingArea_7.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/395012_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/458002_CookingArea_7.jpg,class4,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/394010_CookingArea_7.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/223003_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/283011_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/160006_CookingArea_7.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/120008_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/12012_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/117005_CookingArea_7.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/64008_CookingArea_7.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/72008_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/506008_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/200002_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/208001_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/145010_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/271002_CookingArea_7.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/131006_CookingArea_7.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/411014_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/509001_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/273006_CookingArea_7.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/463007_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/155006_CookingArea_7.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/467003_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/454004_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/183012_CookingArea_7.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/134004_CookingArea_7.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/483003_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/374003_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/380005_CookingArea_7.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/361009_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/138002_CookingArea_7.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/132002_CookingArea_7.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/1057011_CookingArea_7.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/326004_CookingArea_7.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/190005_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/43011_CookingArea_7.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/402003_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/192009_CookingArea_7.jpg,class4,middle income
