Comment,URL,Actual,Predicted
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/129012_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/131007_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/127001_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/244010_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/400006_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/368008_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/251003_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/466012_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/182012_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/513012_HouseFront_2.jpg,class3,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/125003_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/26007_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/410008_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/12011_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/69004_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/389002_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/229008_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/213001_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/467002_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/63005_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/376012_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/333012_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/514005_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/381013_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/437010_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/260003_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/439006_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/293006_HouseFront_2.jpg,class4,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/499004_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/511014_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/240010_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/132014_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/22006_HouseFront_2.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/1022004_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/108012_HouseFront_2.jpg,class4,high income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/506013_HouseFront_2.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/498002_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/392005_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/210010_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/270014_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/138012_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/432014_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/46003_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/470007_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/227005_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/1033001_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/438005_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/503004_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/119004_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/514008_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/128004_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/453012_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/489011_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/303008_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/220002_HouseFront_2.jpg,class1,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/334008_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/132002_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/415004_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/49001_HouseFront_2.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/383005_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/275007_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/1023002_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/299012_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/145001_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/56003_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/97006_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/219004_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/230001_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/183006_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/65001_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/210006_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/323005_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/1028008_HouseFront_2.jpg,class3,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/449005_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/420004_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/292008_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/197010_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/207004_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/240004_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/473008_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/78007_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/449001_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/451004_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/229010_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/508013_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/328008_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/379012_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/14006_HouseFront_2.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/114011_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/285002_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/455005_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/56005_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/79001_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/471012_HouseFront_2.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/96008_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/366003_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/268002_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/505002_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/334003_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/424009_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/23007_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/443009_HouseFront_2.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/142009_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/404009_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/512001_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/329012_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/413012_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/208005_HouseFront_2.jpg,class4,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/117010_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/6009_HouseFront_2.jpg,class4,high income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/128014_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/363001_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/251007_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/184001_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/217001_HouseFront_2.jpg,class1,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/234008_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/506011_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/273013_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/462013_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/290011_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/128011_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/490007_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/100010_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/201003_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/482012_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/495005_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/423014_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/436009_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/341011_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/294003_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/462008_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/150007_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/280010_HouseFront_2.jpg,class3,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/93008_HouseFront_2.jpg,class4,high income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/1009002_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/497003_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/474011_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/69012_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/487001_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/122003_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/308003_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/284004_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/211010_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/432004_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/369005_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/515007_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/517011_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/18012_HouseFront_2.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/30007_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/1055004_HouseFront_2.jpg,class1,high income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/1013016_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/33002_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/22007_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/394010_HouseFront_2.jpg,class0,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/236014_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/87010_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/155002_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/221013_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/325011_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/281002_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/1012003_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/87009_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/293007_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/148006_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/376001_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/278007_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/457011_HouseFront_2.jpg,class0,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/487008_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/1003002_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/15008_HouseFront_2.jpg,class3,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/244002_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/461002_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/219005_HouseFront_2.jpg,class3,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/134001_HouseFront_2.jpg,class4,higher middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/67001_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class3/514002_HouseFront_2.jpg,class3,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/66009_HouseFront_2.jpg,class4,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/155004_HouseFront_2.jpg,class1,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/419009_HouseFront_2.jpg,class0,low income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/361003_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/213012_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/240003_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/276005_HouseFront_2.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/32007_HouseFront_2.jpg,class2,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class2/482011_HouseFront_2.jpg,class2,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/81012_HouseFront_2.jpg,class1,lower middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class1/86007_HouseFront_2.jpg,class1,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/1006013_HouseFront_2.jpg,class4,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class0/301011_HouseFront_2.jpg,class0,middle income
# NA,/hdd/Aatif/AHI Data/5_classes/Front_Images/valid/class4/249004_HouseFront_2.jpg,class4,higher middle income
