,,Actual,Predicted
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/442004_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/64013_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/146002_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/1022001_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/110002_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/191009_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/489011_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/109008_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/316008_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/265005_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/295005_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/81011_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/319008_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/320002_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/466011_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/315010_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/524012_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/96012_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/153011_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/75005_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/1003007_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/328002_HouseFront_2.jpg,class1,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/461003_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/394012_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/422007_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/119005_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/372010_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/80005_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/87005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/508008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/419003_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/255011_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/203012_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/208005_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/112009_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/147003_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/442011_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/431001_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/146005_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/300003_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/148012_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/68007_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/186002_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/1009002_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/397012_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/133011_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/126002_HouseFront_2.jpg,class1,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/426011_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/64004_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/498013_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/308002_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/111008_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/469009_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/267008_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/1009008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/506010_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/442010_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/97008_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/110001_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/232002_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/468004_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/28006_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/210005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/425012_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/403011_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/445012_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/157012_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/158014_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/111010_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/4004_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/248009_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/125005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/506009_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/464001_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/480003_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/326003_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/484006_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/45004_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/269001_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/143004_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/108013_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/1045003_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/480004_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/300008_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/184012_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/35008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/388008_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/156013_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/91010_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/203010_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/272003_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/110010_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/207014_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/299004_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/225011_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/60012_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/111009_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/261005_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/501007_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/274011_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/487009_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/121012_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/1063001_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/333008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/55008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/293011_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/306003_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/188004_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/407012_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/1007004_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/323007_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/81009_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/136001_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/136012_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/41012_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/456001_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/426006_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/451001_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/413010_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/94010_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/322009_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/417006_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/522010_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/5006_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/246014_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/1039004_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/123003_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/376014_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/285006_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/267009_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/93008_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/25011_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/121007_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/76005_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/322006_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/401011_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/146013_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/234010_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/6003_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/6013_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/405003_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/131006_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/522002_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/99007_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/514011_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/487003_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/205011_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/118003_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/308004_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/193007_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/248002_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/501009_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/387004_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/236008_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/208012_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/27002_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/1017006_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/1007007_HouseFront_2.jpg,class0,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/273004_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/161007_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/485005_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/394006_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/305014_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/152014_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/257007_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/1047006_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/213014_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/340005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/379014_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/152010_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/444012_HouseFront_2.jpg,class1,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/133004_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/464005_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/276006_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/183009_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/437008_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/363014_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/477010_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/50008_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/322001_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/329013_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/371003_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/382008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/444001_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/340012_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/464009_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/280005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/315006_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/223005_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/514004_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/191012_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/4010_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/1006013_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/1069011_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/430004_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/211007_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/409003_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/134001_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/16005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/254009_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/162002_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/450008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/127006_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/314008_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/25008_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/287014_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/503002_HouseFront_2.jpg,class1,low income
# nna,/hdd/Aatif/AHI Data/3_classes/front/test/class1/118011_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/150007_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/415002_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/1006001_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/361005_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/139007_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/148005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/298008_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/421007_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/136013_HouseFront_2.jpg,class0,low income
